,username,avg_comment_similarity,avg_toxicity,avg_reply_speed,avg_comment_time_interval,comment_intervals
30,Euphoric_Promotion85,0.42566058404852997,0.2581137433764525,0 days 08:47:25,47 days 23:22:54,"[datetime.timedelta(days=72, seconds=70456), datetime.timedelta(days=90, seconds=77427), datetime.timedelta(days=18, seconds=10633), datetime.timedelta(days=32, seconds=32897), datetime.timedelta(days=9, seconds=28312), datetime.timedelta(days=7, seconds=24597), datetime.timedelta(days=2, seconds=20957), datetime.timedelta(days=61, seconds=5283), datetime.timedelta(days=137, seconds=55008)]"
31,JohnnyBgood420,0.652498862192935,0.7651884187012911,0 days 03:11:56,0 days 01:17:17,"[datetime.timedelta(seconds=135), datetime.timedelta(seconds=31), datetime.timedelta(seconds=29), datetime.timedelta(seconds=84), datetime.timedelta(seconds=24), datetime.timedelta(seconds=5457), datetime.timedelta(seconds=41), datetime.timedelta(seconds=54), datetime.timedelta(seconds=3151), datetime.timedelta(seconds=3534), datetime.timedelta(seconds=50152), datetime.timedelta(seconds=189), datetime.timedelta(seconds=1958), datetime.timedelta(seconds=74)]"
32,user_bits,0.3165547817987368,0.08595536783880865,0 days 05:00:06,0 days 06:20:41,"[datetime.timedelta(seconds=9027), datetime.timedelta(seconds=1064), datetime.timedelta(seconds=58754), datetime.timedelta(seconds=24354), datetime.timedelta(seconds=797), datetime.timedelta(seconds=5975), datetime.timedelta(seconds=76524), datetime.timedelta(seconds=15232), datetime.timedelta(seconds=3743), datetime.timedelta(seconds=97), datetime.timedelta(seconds=75285), datetime.timedelta(seconds=547), datetime.timedelta(seconds=48078), datetime.timedelta(seconds=294)]"
33,ScyllaIsBea,0.6422399440416021,0.11553578154804806,0 days 06:06:09,0 days 03:01:46,"[datetime.timedelta(seconds=29557), datetime.timedelta(seconds=641), datetime.timedelta(seconds=1344), datetime.timedelta(seconds=10838), datetime.timedelta(seconds=585), datetime.timedelta(seconds=25008), datetime.timedelta(seconds=278), datetime.timedelta(seconds=766), datetime.timedelta(seconds=65747), datetime.timedelta(seconds=2773), datetime.timedelta(seconds=184), datetime.timedelta(seconds=334), datetime.timedelta(seconds=2896), datetime.timedelta(seconds=11726)]"
34,ambigrammer,0.5105267916348416,0.11631401325964058,7 days 20:51:34,5 days 01:01:38,"[datetime.timedelta(days=1, seconds=63352), datetime.timedelta(days=5, seconds=39327), datetime.timedelta(days=7, seconds=81514), datetime.timedelta(days=1, seconds=48047), datetime.timedelta(days=5, seconds=84889), datetime.timedelta(days=21, seconds=70033), datetime.timedelta(days=20, seconds=72901), datetime.timedelta(seconds=85476), datetime.timedelta(seconds=18708), datetime.timedelta(seconds=72948), datetime.timedelta(seconds=97), datetime.timedelta(seconds=61255), datetime.timedelta(seconds=40903), datetime.timedelta(days=2, seconds=3526)]"
35,Unique_name256,0.5993352575502708,0.5760724476460989,0 days 06:21:36,0 days 12:31:09,"[datetime.timedelta(seconds=58382), datetime.timedelta(seconds=323), datetime.timedelta(days=1, seconds=29217), datetime.timedelta(days=1, seconds=58896), datetime.timedelta(seconds=20929), datetime.timedelta(seconds=22439), datetime.timedelta(seconds=796), datetime.timedelta(seconds=273), datetime.timedelta(seconds=445), datetime.timedelta(seconds=15425), datetime.timedelta(seconds=118), datetime.timedelta(seconds=113), datetime.timedelta(seconds=251), datetime.timedelta(days=2, seconds=77763)]"
36,vas-is-boss,0.4505273240517674,0.043293497354413076,0 days 09:21:04,48 days 23:10:25,"[datetime.timedelta(days=47, seconds=13591), datetime.timedelta(days=14, seconds=69573), datetime.timedelta(days=9, seconds=48694), datetime.timedelta(days=3, seconds=60002), datetime.timedelta(days=16, seconds=13512), datetime.timedelta(days=51, seconds=81735), datetime.timedelta(days=1, seconds=8117), datetime.timedelta(days=106, seconds=70367), datetime.timedelta(days=184, seconds=36023), datetime.timedelta(days=15, seconds=20371), datetime.timedelta(days=27, seconds=42737), datetime.timedelta(days=116, seconds=69734), datetime.timedelta(days=90, seconds=28604), datetime.timedelta(seconds=90)]"
37,haysanatar,0.5934503554734789,0.10918996850571906,0 days 03:46:35,0 days 13:43:20,"[datetime.timedelta(days=4, seconds=21174), datetime.timedelta(seconds=50417), datetime.timedelta(seconds=1413), datetime.timedelta(seconds=254), datetime.timedelta(days=1, seconds=12979), datetime.timedelta(seconds=12725), datetime.timedelta(seconds=51665), datetime.timedelta(seconds=138), datetime.timedelta(seconds=9338), datetime.timedelta(seconds=223), datetime.timedelta(seconds=21743), datetime.timedelta(seconds=273), datetime.timedelta(seconds=76494), datetime.timedelta(seconds=759)]"
38,dergster,0.6250631877173447,0.0689352846549203,0 days 09:08:33,1 days 05:18:28,"[datetime.timedelta(seconds=29), datetime.timedelta(days=2, seconds=16736), datetime.timedelta(days=1, seconds=78786), datetime.timedelta(seconds=6436), datetime.timedelta(seconds=67667), datetime.timedelta(seconds=19869), datetime.timedelta(seconds=3387), datetime.timedelta(seconds=1346), datetime.timedelta(days=3, seconds=54634), datetime.timedelta(days=1, seconds=11823), datetime.timedelta(days=1, seconds=1329), datetime.timedelta(seconds=18516), datetime.timedelta(days=4, seconds=85304), datetime.timedelta(seconds=74446)]"
39,melperz,0.31423995843531116,0.16475284012655417,0 days 04:05:56,0 days 07:44:17,"[datetime.timedelta(seconds=8787), datetime.timedelta(seconds=40560), datetime.timedelta(seconds=274), datetime.timedelta(seconds=31292), datetime.timedelta(seconds=21669), datetime.timedelta(seconds=423), datetime.timedelta(seconds=21392), datetime.timedelta(seconds=6372), datetime.timedelta(seconds=558), datetime.timedelta(seconds=23379), datetime.timedelta(seconds=16314), datetime.timedelta(days=1, seconds=67253), datetime.timedelta(seconds=813), datetime.timedelta(seconds=64515)]"
